item,itemLabel,startDate,endDate,sourceDate,psid
Q58286,Jean Ping,1999,2008,,Q58286-FAC0F482-06C5-4C00-8B78-CD1BCB1AFF21
Q3218781,Laure Olga Gondjout,2008,2008,,Q3218781-5F1616B1-B5A7-47AE-8315-26DFF5583443
Q58208,Paul Toungui,2008-10-07,2012-02-28,,Q58208-c6b85e4e-4ee5-ff08-ce04-ce9d47bb2a18
Q5373253,Emmanuel Issoze-Ngondet,2012-02-28,2016-09-28,,Q5373253-96eef611-4fe2-9abb-6ef2-f826e6d258b1
Q26924447,Pacôme Moubelet-Boubeya,2016-09-28,2017,2022-06-17,Q26924447-CF19E003-FD70-4B63-AAFD-72151D9AC06E
Q55096171,Noël Nelson Messone,2017,2018,,Q55096171-9e37ddce-3dca-4b9f-b10f-b357bdb1b4bd
Q53535963,Régis Immongault Tatangani,2018,2019,2022-06-17,Q53535963-41b1d99b-d688-4b41-bc5e-3f1895dd9eac
Q65769832,Abdu Razzaq Guy Kambogo,2019,2019,,Q65769832-91ca5db4-6c36-407f-84a6-a1f7ec9cb081
Q98841301,Alain Claude Bilie-By-Nze,2019,2020-07-23,,Q98841301-015e06bd-46cb-9e12-d592-20cf073b2cd9
Q26924447,Pacôme Moubelet-Boubeya,2020-07-23,2022-03-08,2022-06-17,Q26924447-de8d9f4b-475e-c14d-e262-683d93f904b4
Q111718059,Michael Moussa Adamo,2022-03-08,,,Q111718059-FCE7AEC5-5A16-4A40-B7A6-D890395EE537
